idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,label
89,44,92,119,50,32,0,52,ka
96,45,92,119,50,32,0,54,ka
96,45,92,119,52,32,0,54,ka
98,45,92,119,50,32,0,52,ka
98,45,91,119,48,32,0,52,ka
98,45,91,119,50,32,0,51,ka
91,45,92,119,50,33,0,51,ka
89,45,92,119,52,33,0,51,ka
89,45,92,119,50,33,0,49,ka
91,48,92,119,50,33,0,49,ka
89,47,92,119,50,33,0,47,ka
87,45,92,120,48,33,0,47,ka
85,45,92,120,48,33,0,46,ka
82,45,92,120,50,33,0,46,ka
80,45,92,120,48,32,0,46,ka
78,45,92,121,47,33,0,46,ka
78,45,92,121,42,34,0,47,ka
80,45,92,121,42,34,0,49,ka
78,45,92,121,42,33,0,49,ka
73,44,92,121,42,34,0,41,ka
73,44,91,121,42,34,0,41,ka
73,44,91,121,43,34,0,42,ka
76,43,91,121,43,34,0,42,ka
78,43,91,121,43,34,0,42,ka
78,43,91,121,45,36,0,41,ka
76,43,90,120,45,33,0,41,ka
76,43,90,120,50,33,0,39,ka
73,43,90,120,48,33,0,37,ka
73,43,91,120,48,33,0,39,ka
78,43,91,120,48,32,0,47,ka
78,43,91,119,48,32,0,49,ka
78,43,91,119,47,32,0,46,ka
78,44,91,119,47,32,0,46,ka
78,44,91,119,47,28,0,46,ka
78,43,91,119,45,28,0,47,ka
80,43,91,120,47,28,0,49,ka
80,43,91,120,47,28,0,49,ka
82,43,92,120,48,28,0,47,ka
82,43,91,120,48,30,0,49,ka
82,43,91,120,48,32,0,49,ka
85,43,91,120,48,32,0,49,ka
85,43,91,120,48,32,0,47,ka
82,43,91,119,48,29,0,51,ka
80,43,91,119,48,33,0,47,ka
78,43,91,119,50,33,0,46,ka
78,43,90,119,48,33,0,44,ka
80,43,91,119,48,33,0,44,ka
78,43,90,119,48,33,0,46,ka
78,43,90,119,50,30,0,46,ka
78,43,90,119,50,30,0,44,ka
78,43,91,119,50,30,0,44,ka
78,43,91,119,50,30,0,46,ka
80,43,90,119,50,32,0,42,ka
82,43,91,118,50,33,0,44,ka
82,43,91,118,52,33,0,47,ka
85,43,90,119,54,33,0,49,ka
82,43,91,118,54,33,0,47,ka
82,43,91,118,54,33,0,47,ka
82,43,91,119,54,33,0,46,ka
82,43,91,119,54,33,0,47,ka
80,43,91,119,52,33,0,49,ka
80,43,92,119,52,33,0,49,ka
82,41,92,119,52,33,0,49,ka
78,41,91,119,52,33,0,51,ka
76,43,91,119,50,32,0,49,ka
78,41,92,119,48,32,0,47,ka
80,41,92,119,48,33,0,49,ka
80,41,92,119,48,33,0,51,ka
80,41,92,119,48,32,0,51,ka
80,41,92,119,48,32,0,51,ka
80,41,92,120,48,32,0,49,ka
80,41,92,120,52,33,0,49,ka
78,41,92,120,50,33,0,49,ka
80,41,92,120,50,33,0,49,ka
80,41,92,120,50,32,0,49,ka
76,41,91,120,52,32,0,51,ka
76,41,91,119,52,32,0,49,ka
78,41,91,119,52,32,0,49,ka
76,41,91,120,52,30,0,49,ka
78,41,90,120,48,30,0,51,ka
76,41,90,119,48,30,0,51,ka
76,41,90,119,43,29,0,51,ka
78,40,90,119,45,30,0,51,ka
78,40,92,119,45,30,0,49,ka
80,37,93,119,45,30,0,51,ka
82,37,93,119,47,30,0,47,ka
82,37,93,119,47,32,0,47,ka
82,37,93,119,47,32,0,47,ka
82,37,93,118,47,33,0,47,ka
82,37,93,118,50,33,0,46,ka
82,37,93,118,50,33,0,47,ka
82,37,93,118,52,33,0,44,ka
82,37,93,118,52,33,0,46,ka
82,38,91,118,52,33,0,46,ka
82,40,91,118,50,33,0,46,ka
80,41,90,118,48,33,0,47,ka
80,40,90,118,50,33,0,49,ka
80,40,90,118,50,34,0,49,ka
80,40,90,117,50,34,0,49,ka
80,40,90,118,50,33,0,51,ka
78,40,90,117,48,33,0,51,ka
78,40,90,118,48,33,0,52,ka
80,40,90,118,48,33,0,52,ka
80,40,90,118,48,33,0,51,ka
78,41,90,118,50,33,0,51,ka
78,41,90,118,50,33,0,51,ka
78,41,90,118,48,33,0,51,ka
80,41,91,119,50,32,0,51,ka
80,41,90,119,50,32,0,56,ka
80,41,90,119,52,33,0,54,ka
82,41,91,119,52,33,0,54,ka
